name,lat,long,date_created,date_modified,is_active,user_id
Turtle Beach,-14.651,145.45,2026-01-19,2026-01-19,TRUE,6953c48c3cc5a740eee1d7c5
Out Front,-14.676,145.443,2026-01-19,2026-01-19,TRUE,6953c48c3cc5a740eee1d7c5
Palfrey North,-14.689,145.443,2026-01-19,2026-01-19,TRUE,6953c48c3cc5a740eee1d7c5
Loomis Reef,-14.682,145.449,2026-01-19,2026-01-19,TRUE,6953c48c3cc5a740eee1d7c5
